
1.0,ExoPlanet,Project ExoPlanet,High,In Progress,Top-level project planning
1.1,ExoPlanet,Global Systems,High,Planned,GameManager, shared logic, cross-scene state
1.2,ExoPlanet,UI,High,In Progress,UI overlays, panels, HUD, info display
1.3,ExoPlanet,Galaxy,High,In Progress,Galaxy-wide features and tasks
1.3.1,ExoPlanet,Generate N procedural stars,High,Complete,Currently generating 50+ stars
1.3.2,ExoPlanet,Assign unique names/IDs to stars,High,Complete,Used A–Z+index or UUID
1.3.3,ExoPlanet,Make stars clickable to load star system,High,Complete,Uses OnMouseDown()
1.3.4,ExoPlanet,Track current star name in GameManager,Medium,Complete,Stored in singleton
1.3.5,ExoPlanet,Visual feedback when star is hovered,Low,Planned,Highlight or glow effect
1.3.6,ExoPlanet,Anchor stars within a fixed screen space,Medium,Planned,Prevent overlap or offscreen placement
1.3.7,ExoPlanet,Add zoom + pan support to camera,Medium,Planned,User-friendly galaxy exploration
1.3.8,ExoPlanet,Add background galaxy texture,Low,Planned,Starfield or nebula visual layer
1.3.9,ExoPlanet,Add star type variation (color, size),Medium,Planned,Visual flair and gameplay potential
1.3.10,ExoPlanet,Enable filtering/highlighting by traits,Low,Stretch,Future filtering by colonized/resource-rich etc.
1.4,ExoPlanet,Solar System,High,In Progress,Initial solar system setup
1.4.1,ExoPlanet,Create StarSystem scene and setup template,High,Complete,Includes camera, lighting, and default layout
1.4.2,ExoPlanet,Spawn center star in StarSystem scene,High,Complete,Star prefab placed at scene origin
1.4.3,ExoPlanet,Generate and name planets in orbit,High,Complete,Planets A–D placed in circular pattern
1.4.4,ExoPlanet,Click planet to show info panel,High,In Progress,Uses PlanetInfo.cs and PlanetInfoPanel.cs
1.4.5,ExoPlanet,Track colonization time and toggle state,Medium,Complete,Planets can be colonized and de-colonized
1.4.6,ExoPlanet,Visual indicator for colonized planets,Medium,Complete,Changes planet color on colonization
1.4.7,ExoPlanet,Link planet to resource generation manager,High,Complete,SystemResourceManager.cs handles totals
1.4.8,ExoPlanet,Display planet info panel in UI,High,In Progress,PlanetInfoManager UI shows selected planet data
1.4.9,ExoPlanet,Create button to close/hide planet panel,Medium,Planned,Optional button to collapse panel
1.4.10,ExoPlanet,Add random traits or bonuses to each planet,Medium,Planned,Used to encourage colonization decisions
1.5,ExoPlanet,Planet Systems,High,Planned,Colonization, traits, structures, resource output
1.5.1,ExoPlanet,Define base PlanetInfo data model,High,Complete,Includes name, resource rates, colonized status
1.5.2,ExoPlanet,Track colonization status and color change,High,Complete,Turns planet green on colonize, white on de-colonize
1.5.3,ExoPlanet,Add planet colonization cost and refund logic,Medium,Complete,Colonizing requires energy, refunded if reversed
1.5.4,ExoPlanet,Track and update colonization timer,Medium,Complete,Timer shown in info panel
